id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
834475958944640650,Rental unit in Enskede-Årsta-Vantör · 1 bedroom · 1 bed · 1 bath,60978656,Nima,,Enskede-Årsta-Vantörs,59.282501304850015,18.090740499331616,Entire home/apt,790,3,2,2023-03-20,0.50,1,149,2,
834502545251553223,Rental unit in Norrmalm · 2 bedrooms · 2 beds · 1 bath,15604947,Pauline,,Norrmalms,59.337417,18.0661849,Entire home/apt,1100,30,0,,,1,219,0,
834698861627804387,Rental unit in Södermalm · 1 bedroom · 1 bed · 1.5 baths,51654886,Arvid,,Södermalms,59.3187891941321,18.03332833068847,Entire home/apt,1100,6,2,2023-06-06,0.79,1,36,2,
834708358780779182,Home in Bromma · 4 bedrooms · 4 beds · 2.5 baths,464832450,Johan,,Bromma,59.31879232869736,17.946435398672257,Entire home/apt,7900,3,1,2023-06-25,1,1,87,1,
834776667028283923,Home in Hammarbyhöjden · 4 bedrooms · 3 beds · 2.5 baths,176809612,Sara,,Skarpnäcks,59.296715811799885,18.10613439505085,Entire home/apt,2500,3,0,,,1,198,0,
834840310378442919,Rental unit in Rinkeby · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,500033398,Jalil,,Rinkeby-Tensta,59.383670680811704,17.93594932109489,Private room,254,2,4,2023-06-16,2.40,1,264,4,
835275545411873276,Rental unit in Farsta distrikt · 1 bedroom · 1 bed · 1 shared bath,389733262,Åsa,,Farsta,59.2547917744001,18.074312362503,Private room,401,1,0,,,1,365,0,
835342877754960147,Home in Hässelby-Vällingby · 4 bedrooms · 5 beds · 1.5 baths,36378608,Lea & Magni,,Hässelby-Vällingby,59.3721807,17.8303606,Entire home/apt,2554,3,0,,,1,320,0,
835502083193151911,Rental unit in Södermalm · 3 bedrooms · 3 beds · 1.5 baths,502186368,Cornelia,,Södermalms,59.31958968678232,18.055883187835683,Entire home/apt,3000,3,1,2023-06-21,1,1,34,1,
835518545613239849,Rental unit in Södermalm · ★4.75 · Studio · 3 beds · 1 bath,499228422,Elias,,Södermalms,59.31447747401167,18.076028152880138,Entire home/apt,1970,1,12,2023-06-08,3.40,2,45,12,
835958642399278345,Rental unit in Hägersten-Liljeholmen · 1 bedroom · 1 bed · 1.5 baths,503014042,Jessica,,Hägersten-Liljeholmens,59.30446180000001,18.0007597,Entire home/apt,650,1,1,2023-04-16,0.39,1,0,1,
836298546586394732,Rental unit in Enskede-Årsta-Vantör · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,271215527,Maksym,,Enskede-Årsta-Vantörs,59.26355,18.01306,Private room,501,1,3,2023-05-11,1.05,1,116,3,
836780659213508668,Rental unit in Hägersten-Liljeholmen · 1 bedroom · 1 bed · 1 bath,354889047,Kevin,,Hägersten-Liljeholmens,59.3045999,17.9716737,Entire home/apt,880,2,0,,,1,90,0,
837674800835248731,Rental unit in Spånga-Tensta · ★New · 1 bedroom · 1 shared bath,417453163,Carwan,,Spånga-Tensta,59.36216859894768,17.910418737173117,Private room,827,1,0,,,1,365,0,
837987653768586095,Townhouse in Hässelby-Vällingby · 5 bedrooms · 5 beds · 2 baths,113268372,Karin,,Hässelby-Vällingby,59.35432510093122,17.884297234602812,Entire home/apt,2066,3,0,,,1,193,0,
838108436782463091,Rental unit in Kungsholmen · ★5.0 · 1 bedroom · 1 bed · 1 bath,22876006,Hedvig,,Kungsholmens,59.33719787336401,18.02420060573097,Entire home/apt,1788,7,9,2023-06-18,3.03,82,163,9,
